Date,Open,High,Low,Close,Adj Close,Volume
24/04/2017,6.07,6.07,6.07,6.07,6.07,0
26/04/2017,6.04,6.07,6.02,6.02,6.02,106950
27/04/2017,6.04,6.04,5.98,5.98,5.98,122959
28/04/2017,6,6,5.98,5.98,5.98,26446
01/05/2017,5.98,5.99,5.94,5.94,5.94,70740
02/05/2017,5.93,5.94,5.9,5.9,5.9,136364
03/05/2017,5.93,5.96,5.93,5.95,5.95,37740
04/05/2017,5.93,5.94,5.9,5.9,5.9,74499
05/05/2017,5.91,5.92,5.9,5.9,5.9,128263
08/05/2017,5.9,5.9,5.89,5.9,5.9,133154
09/05/2017,5.9,5.9,5.89,5.89,5.89,28599
10/05/2017,5.9,6,5.9,6,6,88345
11/05/2017,6.01,6.03,6.01,6.01,6.01,171266
12/05/2017,6.01,6.03,6,6.03,6.03,74724
15/05/2017,6.03,6.03,6,6,6,51425
16/05/2017,6.02,6.02,6,6,6,52301
17/05/2017,5.99,6,5.99,6,6,38510
18/05/2017,6,6,5.96,6,6,63215
19/05/2017,6.01,6.02,6,6.02,6.02,30968
22/05/2017,6.01,6.02,6.01,6.02,6.02,68610
23/05/2017,6.01,6.1,6.01,6.1,6.1,132070
24/05/2017,6.12,6.12,6.08,6.1,6.1,19519
25/05/2017,6.1,6.1,6.09,6.1,6.1,87539
26/05/2017,6.05,6.05,6,6,6,29302
29/05/2017,6.05,6.06,6.05,6.06,6.06,18148
30/05/2017,6.06,6.06,6,6,6,130495
31/05/2017,6.02,6.03,6,6,6,62372
01/06/2017,6,6,5.99,5.99,5.99,96679
02/06/2017,6,6.02,6,6,6,57709
06/06/2017,6,6.02,5.98,5.98,5.98,169313
07/06/2017,5.96,5.97,5.9,5.9,5.9,658050
08/06/2017,5.9,5.96,5.89,5.96,5.96,581042
09/06/2017,5.95,5.99,5.95,5.97,5.97,156655
12/06/2017,5.97,5.98,5.95,5.95,5.95,178956
13/06/2017,5.95,5.97,5.9,5.91,5.91,778234
14/06/2017,5.91,5.93,5.9,5.9,5.9,484887
15/06/2017,5.91,5.96,5.91,5.96,5.96,326872
16/06/2017,5.96,5.97,5.95,5.97,5.97,180618
19/06/2017,5.95,5.97,5.95,5.96,5.96,35556
20/06/2017,5.95,5.97,5.93,5.93,5.93,319448
21/06/2017,5.94,5.94,5.92,5.94,5.94,329155
22/06/2017,5.94,5.95,5.94,5.95,5.95,133621
23/06/2017,5.94,5.96,5.94,5.94,5.94,571013
26/06/2017,5.95,5.96,5.94,5.96,5.96,662614
27/06/2017,5.96,5.99,5.96,5.99,5.99,305259
28/06/2017,5.97,6,5.96,5.99,5.99,352726
29/06/2017,5.98,6,5.98,6,6,226811
30/06/2017,6,6,5.98,6,6,428261
03/07/2017,5.99,6,5.98,5.98,5.98,200034
04/07/2017,5.98,5.98,5.96,5.96,5.96,253229
05/07/2017,5.98,5.98,5.97,5.97,5.97,65951
06/07/2017,5.98,5.98,5.96,5.97,5.97,122727
07/07/2017,5.96,5.97,5.96,5.97,5.97,157781
10/07/2017,5.97,5.99,5.97,5.99,5.99,127721
11/07/2017,5.99,5.99,5.98,5.99,5.99,45335
12/07/2017,6,6.01,5.98,5.98,5.98,589495
13/07/2017,5.99,5.99,5.97,5.97,5.97,150422
14/07/2017,5.97,5.98,5.97,5.98,5.98,108903
17/07/2017,5.97,5.98,5.97,5.98,5.98,233264
18/07/2017,5.99,5.99,5.98,5.99,5.99,159471
19/07/2017,5.98,6,5.98,6,6,319707
20/07/2017,5.98,6,5.97,6,6,327950
21/07/2017,5.99,6,5.98,5.98,5.98,437437
24/07/2017,6,6,5.99,6,6,109502
25/07/2017,5.99,5.99,5.98,5.99,5.99,283251
26/07/2017,5.98,6,5.98,6,6,667558
27/07/2017,6,6.04,6,6.03,6.03,833919
28/07/2017,6.04,6.07,6.04,6.05,6.05,517378
31/07/2017,6.06,6.08,6.05,6.05,6.05,307455
01/08/2017,6.08,6.08,6.06,6.07,6.07,197681
02/08/2017,6.08,6.1,6.08,6.09,6.09,414118
03/08/2017,6.1,6.11,6.1,6.1,6.1,452099
04/08/2017,6.1,6.12,6.1,6.11,6.11,345757
07/08/2017,6.12,6.15,6.12,6.14,6.14,664487
08/08/2017,6.15,6.2,6.15,6.2,6.2,354542
09/08/2017,6.2,6.25,6.2,6.25,6.25,594945
10/08/2017,6.27,6.3,6.25,6.25,6.25,303568
11/08/2017,6.24,6.25,6.2,6.25,6.25,519042
14/08/2017,6.24,6.25,6.23,6.25,6.25,448937
15/08/2017,6.25,6.25,6.22,6.23,6.23,149060
16/08/2017,6.23,6.26,6.23,6.25,6.25,383488
17/08/2017,6.25,6.26,6.24,6.25,6.25,620618
18/08/2017,6.25,6.25,6.24,6.24,6.24,247979
21/08/2017,6.23,6.25,6.23,6.23,6.23,69769
22/08/2017,6.25,6.25,6.23,6.25,6.25,353508
23/08/2017,6.25,6.25,6.23,6.24,6.24,192943
24/08/2017,6.24,6.24,6.23,6.23,6.23,31368
25/08/2017,6.24,6.24,6.22,6.22,6.22,301565
28/08/2017,6.22,6.24,6.22,6.24,6.24,284326
29/08/2017,6.24,6.24,6.23,6.23,6.23,146344
30/08/2017,6.24,6.24,6.21,6.21,6.21,133844
31/08/2017,6.22,6.23,6.21,6.21,6.21,33258
01/09/2017,6.21,6.22,6.19,6.19,6.19,197402
04/09/2017,6.18,6.2,6.18,6.18,6.18,124214
05/09/2017,6.18,6.18,6.12,6.12,6.12,201493
06/09/2017,6.12,6.15,6.1,6.15,6.15,305600
07/09/2017,6.15,6.15,6.13,6.13,6.13,87537
08/09/2017,6.14,6.16,6.13,6.13,6.13,122938
11/09/2017,6.14,6.16,6.13,6.14,6.14,321900
12/09/2017,6.14,6.16,6.14,6.15,6.15,164587
13/09/2017,6.16,6.16,6.13,6.13,6.13,67325
14/09/2017,6.12,6.14,6.12,6.14,6.14,45862
15/09/2017,6.14,6.14,6.12,6.13,6.13,73115
18/09/2017,6.12,6.13,6.1,6.1,6.1,336484
19/09/2017,6.12,6.12,6.1,6.1,6.1,236021
20/09/2017,6.12,6.12,6.1,6.11,6.11,375510
21/09/2017,6.13,6.13,6.09,6.11,6.11,499792
22/09/2017,6.11,6.13,6.09,6.12,6.12,496658
25/09/2017,6.14,6.15,6.13,6.15,6.15,110618
26/09/2017,6.2,6.22,6.2,6.21,6.21,257503
27/09/2017,6.23,6.25,6.22,6.23,6.23,307696
28/09/2017,6.23,6.24,6.22,6.22,6.22,231328
29/09/2017,6.23,6.24,6.22,6.24,6.24,177594
02/10/2017,6.23,6.24,6.23,6.23,6.23,141239
03/10/2017,6.24,6.24,6.24,6.24,6.24,359368
04/10/2017,6.24,6.24,6.23,6.24,6.24,313357
05/10/2017,6.24,6.25,6.24,6.25,6.25,552276
06/10/2017,6.15,6.15,6.06,6.1,6.1,204590
09/10/2017,6.1,6.12,6.1,6.11,6.11,340687
10/10/2017,6.11,6.13,6.1,6.13,6.13,403367
